000001.SZ,2000-09,76
000001.SZ,2000-10,720
000001.SZ,2000-11,2088
000001.SZ,2000-12,3873
000001.SZ,2001-01,5577
000001.SZ,2001-02,6708
000001.SZ,2001-03,8173
000001.SZ,2001-04,9976
000001.SZ,2001-05,11695
000001.SZ,2001-06,13168
000001.SZ,2001-07,14800
000001.SZ,2001-08,16597
000001.SZ,2001-09,18476
000001.SZ,2001-10,20104
000001.SZ,2001-11,21585
000001.SZ,2001-12,23380
000001.SZ,2002-01,25086
000001.SZ,2002-02,26684
000001.SZ,2002-03,27502
000001.SZ,2002-04,29228
000001.SZ,2002-05,30949
000001.SZ,2002-06,32335
000001.SZ,2002-07,33967
000001.SZ,2002-08,35786
000001.SZ,2002-09,37613
000001.SZ,2002-10,39189
000001.SZ,2002-11,40575
000001.SZ,2002-12,42296
000001.SZ,2003-01,44103
000001.SZ,2003-02,45751
000001.SZ,2003-03,46825
000001.SZ,2003-04,48555
000001.SZ,2003-05,50404
000001.SZ,2003-06,51658
000001.SZ,2003-07,53390
000001.SZ,2003-08,55273
000001.SZ,2003-09,56912
000001.SZ,2003-10,58641
000001.SZ,2003-11,59948
000001.SZ,2003-12,61483
000001.SZ,2004-01,63260
000001.SZ,2004-02,64262
000001.SZ,2004-03,65924
000001.SZ,2004-04,67831
000001.SZ,2004-05,69574
000001.SZ,2004-06,70809
000001.SZ,2004-07,72417
000001.SZ,2004-08,74103
000001.SZ,2004-09,75788
000001.SZ,2004-10,77492
000001.SZ,2004-11,78719
000001.SZ,2004-12,80409
000001.SZ,2005-01,82107
000001.SZ,2005-02,83577
000001.SZ,2005-03,84571
000001.SZ,2005-04,86331
000001.SZ,2005-05,87883
000001.SZ,2005-06,89188
000001.SZ,2005-07,90812
000001.SZ,2005-08,92430
000001.SZ,2005-09,94201
000001.SZ,2005-10,95677
000001.SZ,2005-11,96233
000001.SZ,2005-12,97920
000001.SZ,2006-01,99598
000001.SZ,2006-02,100837
000001.SZ,2006-03,102140
000001.SZ,2006-04,103917
000001.SZ,2006-05,105493
000001.SZ,2006-06,106668
000001.SZ,2006-07,107685
000001.SZ,2006-08,108782
000001.SZ,2006-09,110548
000001.SZ,2006-10,112176
000001.SZ,2006-11,113268
000001.SZ,2006-12,115079
000001.SZ,2007-01,116836
000001.SZ,2007-02,118490
000001.SZ,2007-03,119734
000001.SZ,2007-04,121566
000001.SZ,2007-05,123147
000001.SZ,2007-06,123902
000001.SZ,2007-07,124492
000001.SZ,2007-08,126232
000001.SZ,2007-09,128150
000001.SZ,2007-10,129813
000001.SZ,2007-11,131287
000001.SZ,2007-12,133107
000001.SZ,2008-01,134685
000001.SZ,2008-02,136505
000001.SZ,2008-03,137834
000001.SZ,2008-04,139585
000001.SZ,2008-05,141328
000001.SZ,2008-06,142988
000001.SZ,2008-07,144569
000001.SZ,2008-08,146480
000001.SZ,2008-09,148211
000001.SZ,2008-10,149794
000001.SZ,2008-11,151379
000001.SZ,2008-12,152994
000001.SZ,2009-01,154880
000001.SZ,2009-02,156087
000001.SZ,2009-03,157596
000001.SZ,2009-04,159436
000001.SZ,2009-05,161195
000001.SZ,2009-06,162614
000001.SZ,2009-07,163944
000001.SZ,2009-08,165780
000001.SZ,2009-09,167559
000001.SZ,2009-10,169394
000001.SZ,2009-11,170726
000001.SZ,2009-12,172485
000001.SZ,2010-01,174247
000001.SZ,2010-02,175924
000001.SZ,2010-03,177176
000001.SZ,2010-04,179016
000001.SZ,2010-05,180783
000001.SZ,2010-06,182452
000001.SZ,2010-09,183873
000001.SZ,2010-10,185309
000001.SZ,2010-11,186663
000001.SZ,2010-12,188511
000001.SZ,2011-01,190360
000001.SZ,2011-02,192035
000001.SZ,2011-03,193287
000001.SZ,2011-04,195211
000001.SZ,2011-05,196801
000001.SZ,2011-06,198142
000001.SZ,2011-07,199907
000001.SZ,2011-08,201670
000001.SZ,2011-09,203512
000001.SZ,2011-10,205182
000001.SZ,2011-11,206513
000001.SZ,2011-12,208361
000001.SZ,2012-01,210117
000001.SZ,2012-02,210709
000001.SZ,2012-03,212383
000001.SZ,2012-04,214223
000001.SZ,2012-05,215646
000001.SZ,2012-06,217408
000001.SZ,2012-07,219093
000001.SZ,2012-08,220942
000001.SZ,2012-09,222867
000001.SZ,2012-10,224550
000001.SZ,2012-11,226040
000001.SZ,2012-12,227873
000001.SZ,2013-01,229630
000001.SZ,2013-02,231316
000001.SZ,2013-03,232578
000001.SZ,2013-04,234354
000001.SZ,2013-05,235867
000001.SZ,2013-06,237713
000001.SZ,2013-07,239137
000001.SZ,2013-08,240989
000001.SZ,2013-09,242818
000001.SZ,2013-10,244338
000001.SZ,2013-11,245855
000001.SZ,2013-12,247629
000001.SZ,2014-01,249474
000001.SZ,2014-02,251239
000001.SZ,2014-03,252589
000001.SZ,2014-04,254354
000001.SZ,2014-05,256125
000001.SZ,2014-06,257785
000001.SZ,2014-07,259413
000001.SZ,2014-08,261172
000001.SZ,2014-09,262944
000001.SZ,2014-10,264694
000001.SZ,2014-11,266203
000001.SZ,2014-12,267906
000001.SZ,2015-01,269869
000001.SZ,2015-02,271575
000001.SZ,2015-03,272846
000001.SZ,2015-04,274724
000001.SZ,2015-05,276497
000001.SZ,2015-06,278212
000001.SZ,2015-07,280019
000001.SZ,2015-08,281998
000001.SZ,2015-09,283772
000001.SZ,2015-10,285451
000001.SZ,2015-11,286869
000001.SZ,2015-12,288636
000001.SZ,2016-01,290587
000001.SZ,2016-02,292245
000001.SZ,2016-03,293548
000001.SZ,2016-04,295461
000001.SZ,2016-05,297140
000001.SZ,2016-06,298892
000001.SZ,2016-07,300504
000001.SZ,2016-08,302164
000001.SZ,2016-09,303981
000001.SZ,2016-10,305563
000001.SZ,2016-11,306836
000001.SZ,2016-12,308557
000001.SZ,2017-01,310278
000001.SZ,2017-02,311678
000001.SZ,2017-03,313071
000001.SZ,2017-04,314872
000001.SZ,2017-05,316273
000001.SZ,2017-06,317830
000001.SZ,2017-07,319547
000001.SZ,2017-08,321275
000001.SZ,2017-09,323201
000001.SZ,2017-10,324962
000001.SZ,2017-11,326386
000001.SZ,2017-12,328234
000001.SZ,2018-01,330010
000001.SZ,2018-02,331857
000001.SZ,2018-03,333127
000001.SZ,2018-04,334989
000001.SZ,2018-05,336510
000001.SZ,2018-06,338359
000001.SZ,2018-07,339991
000001.SZ,2018-08,341732
000001.SZ,2018-09,343618
000001.SZ,2018-10,345219
000001.SZ,2018-11,346772
000001.SZ,2018-12,348673
000001.SZ,2019-01,350332
000001.SZ,2019-02,352180
000001.SZ,2019-03,353469
000001.SZ,2019-04,355271
000001.SZ,2019-05,357087
000001.SZ,2019-06,358808
000001.SZ,2019-07,360436
000001.SZ,2019-08,362412
000001.SZ,2019-09,364309
000001.SZ,2019-10,366030
000001.SZ,2019-11,367586
000001.SZ,2019-12,369389
000001.SZ,2020-01,371271
000001.SZ,2020-02,372658
000001.SZ,2020-03,374392
000001.SZ,2020-04,376302
000001.SZ,2020-05,378088
000001.SZ,2020-06,379627
000001.SZ,2020-07,381326
000001.SZ,2020-08,383329
000001.SZ,2020-09,385141
000001.SZ,2020-10,387020
000001.SZ,2020-11,388390
000001.SZ,2020-12,390189
000001.SZ,2021-01,392159
000001.SZ,2021-02,393869
000001.SZ,2021-03,395168
000001.SZ,2021-04,397144
000001.SZ,2021-05,398950
000001.SZ,2021-06,400481
000001.SZ,2021-07,402290
000001.SZ,2021-08,404190
000001.SZ,2021-09,406085
000001.SZ,2021-10,407815
000001.SZ,2021-11,409186
000001.SZ,2021-12,411097
000002.SZ,2000-07,413003
000002.SZ,2000-08,414305
000002.SZ,2000-09,416161
000002.SZ,2000-10,417766
000002.SZ,2000-11,419122
000002.SZ,2000-12,420898
000002.SZ,2001-01,422603
000002.SZ,2001-02,423753
000002.SZ,2001-03,425218
000002.SZ,2001-04,426936
000002.SZ,2001-05,428640
000002.SZ,2001-06,430089
000002.SZ,2001-07,431712
000002.SZ,2001-08,433495
000002.SZ,2001-09,435272
000002.SZ,2001-10,436829
000002.SZ,2001-11,438302
000002.SZ,2001-12,440074
000002.SZ,2002-01,441777
000002.SZ,2002-02,443392
000002.SZ,2002-03,444208
000002.SZ,2002-04,445914
000002.SZ,2002-05,447704
000002.SZ,2002-06,449170
000002.SZ,2002-07,450470
000002.SZ,2002-08,452340
000002.SZ,2002-09,454095
000002.SZ,2002-10,455693
000002.SZ,2002-11,457119
000002.SZ,2002-12,458789
000002.SZ,2003-01,460451
000002.SZ,2003-02,461994
000002.SZ,2003-03,463181
000002.SZ,2003-04,464894
000002.SZ,2003-05,466637
000002.SZ,2003-06,467852
000002.SZ,2003-07,469489
000002.SZ,2003-08,471242
000002.SZ,2003-09,472851
000002.SZ,2003-10,474537
000002.SZ,2003-11,475830
000002.SZ,2003-12,477367
000002.SZ,2004-01,479128
000002.SZ,2004-02,480142
000002.SZ,2004-03,481709
000002.SZ,2004-04,483492
000002.SZ,2004-05,485132
000002.SZ,2004-06,486366
000002.SZ,2004-07,488048
000002.SZ,2004-08,489735
000002.SZ,2004-09,491424
000002.SZ,2004-10,493117
000002.SZ,2004-11,494354
000002.SZ,2004-12,496037
000002.SZ,2005-01,497796
000002.SZ,2005-02,499342
000002.SZ,2005-03,500358
000002.SZ,2005-04,501986
000002.SZ,2005-05,503528
